,comment,link,date,language,toxicity
17,Ευτυχώς που υπαρχουν ακομα αξιόλογοι  σύνθετες στιχουργοί και ερμηνευτές  .Καλοτάξιδο ΝΙΚΟΛΑ !!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 9 ημέρες,greek,2.0
18,"Πραγματικά το τραγούδι είναι υπέροχο!θα κάνει τεράστια επιτυχία!
Επανήλθε ο παλιός καλός οικονομοπουλος",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,1.0
19,Όλοι μας χρειαζόμασταν ένα βαρύ λαϊκό τραγούδι πριν το τέλος τους 2023!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 2 ημέρες,english,3.0
20,Αξίζειιιι.. το καλύτερο τραγούδι του Νίκου μας τα τελευταία χρόνια ,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 17 ώρες,greek,2.0
21,"Παλιός καλός Νίκος Οικονομόπουλος! Αυτός που αγαπήσαμε όλοι!!! 
Με Σαμπάνη και Γρίτση είναι σίγουρη η επιτυχία! Εγώ το λάτρεψα και το ακούω όλη μέρα! Καλοτάξιδο!!! ",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 4 ημέρες,greek,4.0
22,Υπέροχο! Κόλλημα....Με την ψυχή μου δεν τα βρήκα πουθενά....λέξη προς λέξη συγκλονιστικό! Μπράβο Νίκολα,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 6 ημέρες,greek,1.0
23,Ανηψιέ πολυαγαπημένε Νικόλα να έχεις υγεία κατ' αρχάς. Καί μην ανησυχείς. Ή νέα σου επιτυχία έχει στήλει μηνύματα ανεπανάληπτης αποδοχής από τους θαυμαστές σου. Να ξέρεις ότι καμαρώνω για σένα και σε αγαπώ.  Ό θείος σου ΙΩΆΝΝΗΣ ΣΤΑΥΡΌΠΟΥΛΟΣ.,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 3 ημέρες,greek,3.0
24,"Και το περνάει περνάει η μέλισσα να βγάλει, θα το κάνεις επιτυχία ο Ψυχολόγος μας.!!",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 12 ημέρες,greek,2.0
25,"Οι στίχοι του Γρίτση απίθανοι όπως πάντα, μουσικάρα από Σαμπάνη και ερμηνεία σαν λεπίδα. Κομματάρα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 2 ημέρες,greek,1.0
26,"Ευχαριστούμε Νικο Οικονομοπουλε, Νίκο Γρίτση και Γιώργο Σαμπάνη για το τραγουδι! Υπεροχο! Νικο Οικονομόπουλε εισαι ενας μάγκας, μπράβο που ομολογεις την Ορθόδοξη πίστη μας. Μακαρι να είχαμε και άλλους σαν εσένα!",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες (τροποποιήθηκε),greek,4.0
27,"Γεια σου Νίκο! Είσαι υπέροχος! Αγγίζεις της καρδιές μας με αυτά που βγάζεις! 
🇬🇷 Ο Θεός να σε προστατεύει πάντα ρε μάστορα της μουσικής μας! Είσαι η καμάρα μας! Φιλιά από Γερμανία! ",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,3.0
28,"Ένα υπέροχο τραγούδι από έναν υπέροχο τραγουδιστή!!! Είσαι μεγάλο αστέρι Νίκο Οικονομόπουλε, είσαι απλά τέλειος!!! Τίποτα λιγότερο!!!Σε ευχαριστούμε για μια ακόμα τραγουδάρα!!! Μπράβο τόσο σε σένα όσο και στους δημιουργούς του τραγουδιού!!! Καλοτάξιδο!!!",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
29,"Αααχχχ ρε Σαμπανη  ... ποσο μεγαλος Είσαι και ποσο ταπεινος.. αλλα και ο ""ψυχολόγος Οικονομόπουλος "" παντα δυνατος!
Οτι πιο σωστο εχω ακουσει τον τελευταίο καιρό.
. Αφιερωμένο λοιπον  σε εκείνη την ""μοναδική"" Γυναίκα που με σημάδεψε με  τον πιο ξεχωριστό τρόπο 
Διαβάστε περισσότερα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 10 ημέρες,greek,3.0
30,"Πάνω μου, πάνω μου το λάθος
Έκπτωτος Άγγελος μοναχός
Διώξε με από την αγκαλιά σου
Κόψε με από τα φτερά σου .......
Διαβάστε περισσότερα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 12 ημέρες,greek,1.0
31,"Ο Ταξιάρχης να προστατεύει πάντα τα βήματα σου μουσικά και μη.
Καλοταξιδο και να παραμείνεις παντα όπως είσαι .
Σε ευχαριστούμε για τα υπέροχα μουσικά ταξίδια που μας προσφέρεις",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 10 ημέρες,greek,3.0
32,"Αυτή σημαίνει ΕΠΙΤΥΧΙΑ!!! 
Τραγουδι νεογέννητο μιας βδομαδας.. Και το ξέρουμε όλοι απέξω στίχο στίχο.. Νίκο, είσαι τεράστιος... Είμαστε όλοι κάτω απ την σκιά σου με σεβασμό.. 🫠🩵",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,1.0
33,"Αγάπη, έρωτας, απόγνωση, μίσος, ζήλια, προσμονή, απογοήτευση, καψούρα, δάκρυ, χαρά, γέλιο, αγανάκτηση. Το νόημα του τραγουδιού  καλοταξιδο ",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
34,Μακράν ο καλύτερος τραγουδιστής της γενιάς του!! Συγχαρητήρια στους δημιουργούς και φυσικά στην φωνάρα του Νίκου!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,3.0
35,Μας κατάστρεψες Νικόλα....,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 14 ώρες,english,3.0
36,"Ανατριχιαστική κομματάρα από τον ανεπανάληπτο άρχοντα Νίκο Οικονομόπουλο. Αριστουργηματικό video clip, μοναδικοί στίχοι, μαγική μουσική. Ένα απίθανο ζεϊμπέκικο που θα κάνει πάταγο. Η κορυφή σου ανήκει! Συγχαρητήρια σε Σαμπάνη και Γρίτση, βγάλατε ένα τραγούδι διαμάντι και ο Οικονομόπουλος το απογείωσε και μας πλημμύρισε με χιλιάδες συναισθήματα!",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες (τροποποιήθηκε),greek,2.0
37,"Τι να σου πω Γιώργο, τι να σου πω Νίκο...υπάρχει ελπίδα για την ελληνική μουσική..μαζι σας .Μας ανατριχιασατε!! Σας ευχαριστούμε για άλλη 1 φορά ",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 7 ημέρες,greek,1.0
38,"Η τραγουδάρα αυτή δεν υπάρχει! 
Ως λάτρης της Πέγκυς Ζήνα πάντα λέω ότι υπάρχει διαφορά μεταξύ τραγουδάω και ερμηνεύω. Και ο Νίκος Οικονομολόπουλος, ως ένας απ' αυτούς που ερμηνεύουν, μας κάνει περήφανους για την νεότερη γενιά λαϊκών τραγουδιστών. 
Διαβάστε περισσότερα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες (τροποποιήθηκε),greek,2.0
39,"Είναι σίγουρα ένα από τα κορυφαία τραγούδια της καριέρας του και πιστεύω ότι είναι από αυτά που θα μείνουν διαχρονικά. Η ομοιότητα της χροιάς και της ερμηνείας στο συγκεκριμένο τραγούδι με τον Σφακιανάκη είναι τρομερή, και το αναφέρω ως θετικό.",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 9 ημέρες,greek,2.0
40,ΤΙ ΑΣΜΑ ΕΒΓΑΛΕΣ... ΘΕΕ ΜΟΥ ... ΤΙ ΖΕΙΜΠΕΚΙΑ ΜΑΓΚΙΩΡΙΚΗ ..... ΠΟΛΥ ΠΟΛΥ ΔΥΝΑΤΟ....!!!! ΤΕΛΟΣ ... ΕΓΙΝΕ ΗΧΟΣ ΚΛΗΣΗΣ ΣΤΟ ΤΗΛΕΦΩΝΟ ΜΟΥ !!!! ΟΙΚΟΝΟΜΟΠΟΥΛΕ.... ΕΙΣΑΙ Ο ΚΑΛΥΤΕΡΟΣ !!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 6 ημέρες,english,1.0
41,"Όταν το μυαλό τσακώνεται με την καρδιά, αναλαμβάνει να λύσει τη διαφορά το συκώτι... Γεια μας!",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
42,"Το λατρεψα!!! Εισαι ενας κ μοναδικος!! Υπεροχη ερμηνεία, δεν θελεις να τελειωσει το τραγουδι",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 3 ημέρες,greek,1.0
43,Η ζωή μου ολη!!!!!το υπέροχο είναι λίγο για να περιγράψω πόσο σ αγγίζει αυτό το τραγούδι....,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 2 ημέρες,greek,2.0
44,"Τέτοια τραγούδια θέλουμε να εξαφανιστεί η χειρότερη μόδα όλων των εποχών η τραπ! Πάμε δυνατά πάμε Ελληνικά! Αλλάζουμε την μόδα με ομορφιά, καψούρα, έρωτα!",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 5 ημέρες,greek,1.0
45,Μας αποτέλειωσες ρε Νίκο...το καλύτερό σου εβερ!!!! ️,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 2 ημέρες,english,3.0
46,Φοβερη μουσικη δημιουργία για ακόμη μια φορα απο τον Γιωργαρο Σαμπάνη!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 4 ημέρες (τροποποιήθηκε),greek,3.0
47,"Μη λέμε πολλά , μολις έβγαλε το καλύτερό του τραγούδι.
Μπράβο στους δημιουργούς!!!!",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,5.0
48,"Ποσο υπεροχο τραγουδι, απο την ωρα που το ακουσα παιζει στο μυαλο μου συνεχεια . Εξαιρετική ερμηνεία, Καλοταξιδο !!! Μπραβο στον Σαμπάνη και Γρίτση",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 8 ημέρες,greek,1.0
49,Κόλλημα.. Συγχαρητήρια στους δημιουργούς και εννοείται στον Νίκο όλων μας ,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 8 ημέρες,greek,1.0
50,"Καλοτάξιδο ρε αλάνι μας, μας έφτιαξες παλι μεσημεριάτικα. Πάντα επιτυχίες Νικολαρα  μου,αστέρι μου. Φωνάρα όχι μαλακιες . Πάντα τέτοια. Να μας κάνεις πάντα κομμάτια.",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 3 ημέρες (τροποποιήθηκε),english,2.0
51,Νικόλα έγραψες πάλι στις καρδιές μας.Ενας είσαι παλληκάρι μου.Ο καλύτερος τραγουδιστής της Ελλάδας.Φωναρα μας.!!!!!️️️️,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 9 ημέρες,english,4.0
52,Γειά σου ρε Νίκο υπέροχος όπως πάντα !,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 22 ώρες,english,1.0
53,"Το καλυτερο δωρο του Νοεμβρη!
Το τραγούδι της χρονιάς!
Το τραγουδι της ζωης του!
Το τραγουδι ολων εμας που μας εκφραζει! 
Διαβάστε περισσότερα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,3.0
54,Ο καλύτερος νέος Έλληνας καλλιτέχνης τα τελευταία 15 χρόνια με διάφορα!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,english,2.0
55,Κόμματαρα  φωνάρα  απίστευτη ερμηνεία κ υπέροχο ζεϊμπέκικο ....καλοταξιδο Νίκο μας ️️️️,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 9 ημέρες,english,1.0
56,"Μάγεψες πάλι ΝΙΚΟΛΑ!!!!! το τραγουδάμε όλη τη μέρα, έχουμε δεν έχουμε φωνητικά προσόντααα!!!️️️️️️️",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 5 ημέρες,greek,3.0
57,Τελικά τα τραγούδια σε επιλέγουν Νίκο! Το ζεϊμπέκικο της δεκαετίας! Συγχαρητήρια σε όλους ,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 10 ημέρες,greek,1.0
58,Μεγάλε Νικόλα.. Από τη πρώτη στιγμή στο Spotify το είχα στο repeat!!! Τι κομματάρα έβγαλες πάλι ρε Νικόλα!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,1.0
59,"ΣΤΙΧΟΙ :

Δεν βλέπω να έρθει το πρωί

Ούτε τον ήλιο να με βρει
Διαβάστε περισσότερα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 12 ημέρες,greek,2.0
60,"Πάνω μου δάκρυα κι ευθύνες,πάνω μου μαχαιριές οι μνήμες ️ α ρε οικονομο τρέλα,κολλημααααα",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 5 ημέρες,english,2.0
61,"""Όλες οι νύχτες εκείνες... που σαν το κερί έλιωνες πάνω μου!!!!"" ",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 10 ημέρες,english,2.0
62,Οικονομόπουλος!!!! Μόνο!!Τους έχει επισκιάσει όλους της γενιάς του..Ποιος να συγκριθεί μαζί σου μάγκα μου;;;,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 2 ημέρες,greek,2.0
63,Έκπτωτος άγγελος μονάχος... έγραψες Νίκο!!! Συγχαρητήρια Νίκο Γριτση και Γιώργο Σαμπανη!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 9 ημέρες,greek,1.0
64,Τι Θεϊκή... μαγευτική φωνή έχεις Νικολα ,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,english,1.0
65,Από το πρώτο άκουσμα με πιάσανε τα δάκρυα… Όπως κάθε φορά έτσι και τώρα κατάφερες πάλι να με αγγίξεις ψυχικά… Καλοτάξιδο ψυχολόγε μου - μας….!!!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 12 ημέρες,greek,2.0
66,Μπράβο ρε Νικόλα!!!για αλλη μια φορά αξεπέραστος!! μουσική και στίχοι φοβεροί!!! μπράβο σας!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,3.0
67,"Ένα πραγματικά υπέροχο τραγούδι άλλη μια ζεμπεκια από τις λίγες μπράβο Νίκο, ο Οικονομόπουλος όπως τον γνωρίσαμε από παλιά.",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 10 ημέρες,greek,3.0
68,"Από μικρό παιδί άκουγα Οικονομόπουλο αλλά πάντα προτιμούσα να ακούω ποιο ποπ μουσικές και πιο Χαρούμενα τραγούδια. Μεγαλώνοντας όμως κατάλαβα το νόημα στους στίχους του Νίκου, το πόσο ταυτίζομαι πλέον μαζί τους και όλα τα άλλα τα ακούω σαν ανούσια τραγουδάκια της στιγμής.
Πλέον δεν υπάρχει άλλος σαν τον Νίκο για εμένα ️‍",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 9 ημέρες,greek,1.0
69,Όλες οι νύχτες εκείνες που σαν το κερί ελιωνες πάνω μου... Έγραψες πάλι Νικόλα... Συνεδρίες ατελείωτες...,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 6 ημέρες,english,2.0
70,Μπράβο βρε Νικόλα όχι απλά το αγαπήσαμε το νέο τραγούδι σου μας έχεις τρελάνει να σε έχει ο Θεός πάντα υγιή και ευτυχισμένο,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 8 ημέρες,greek,2.0
71,Τραγουδαρα το λατρέψαμε Καλοτάξιδο με επιτυχίες πάντα.Ν.Οικονομοπουλος τέλειος σε κάθε νέα του κυκλοφορία.,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 2 ημέρες,greek,1.0
72,Πολύ ωραίο τραγούδι!! Εγγύηση Οικονομόπουλος πάντα βγάζει τραγούδια υπέροχα!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,english,3.0
73,Τέλειο τραγούδι!!! Δεν σταματάμε να το ακούμε.  Πάνω σου δάκρυα μας κ η πορωση μας,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 5 ημέρες,greek,1.0
74,Σαμπάναρος δύναμη!!!Νικόλα δώστα όλα!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,english,2.0
75,"'ΑΥΤΟ ΤΟ  ΑΣΤΕΡΙ' Τραγούδησε το 2007 και από τότε Εδώ και 16 σχεδόν Χρόνια  ο Νίκος Οικονομόπουλος έχει την 'ΠΡΩΤΗ ΘΕΣΗ' Στην καρδιά όλων, ,'ΠΑΛΙ ΓΎΡΙΣΕ '  το 2023 και ερμήνευσε το 'ΕΚΠΤΩΤΟΣ ΆΓΓΕΛΟΣ ' και 'ΕΙΛΙΚΡΙΝΑ'   'ΠΙΣΤΕΥΩ' ότι θα το 'ΒΑΖΟΥΜΕ ΤΕΡΜΑ' στα ηχεία  αφού 'ΕΝΝΟΕΙΤΑΙ' ότι είναι ο #️⃣1️⃣  λαϊκός τραγουδιστής  Νικόλα καψούρα ατελείωτη ️",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
76,Συγχαρητήρια και στους δημιουργούς και στον ερμηνευτή .,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,1.0
77,Ότι και βγάλεις ότι και να πεις θα είσαι χρυσός για εμάς θα είσαι ο ψυχολόγος στα καλά και άσχημα θα είσαι ψυχολόγος στον χωρισμό και στην αγάπη μας Νικόλα συνέχισε έτσι σαγαπαμε!!!!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 3 ημέρες,greek,3.0
78," Έγραψες πάλι Νίκο ...Ύμνος ,τέλειο κομμάτι  το αγαπάμε από όταν ακούσαμε λίγο το ρεφρέν και το βίντεο κλιπ τέλειο!!! Είσαι υπέροχος,συνέχισε έτσι!!! ΜΠΡΑΒΟ ΣΕ ΟΛΟΥΣ...",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
79,Υπόκλιση στον Νίκο Γρίτση για αυτούς τους στίχους! Είχαμε καιρό να ακούσουμε τέτοιο τραγούδι  ,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 4 ημέρες,greek,1.0
80,επιτέλους τραγούδι για τον κανονικό Οικονομόπουλο που μεγαλώσαμε και μάθαμε καψούρα λαϊκή με λόγια ψυχής είσαι τεράστιος κορυφαίος όλων ,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,3.0
81,"Για άλλη μια φορά ένα υπέροχο τραγούδι απο τον Νίκο! ""Έκπτωτος Άγγελος""  ",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 3 ημέρες,greek,3.0
82,"Επιτέλους άλλο ένα αριστούργημα από τον υπέροχο καλλιτέχνη ΝΙΚΟΣ ΟΙΚΟΝΟΜΟΠΟΥΛΟΣ 
Οι στίχοι, η μελωδία, η μουσική, το στυλ όλα είναι διαχρονικά <3<3<3 ΚΑΛΟΤΑΞΙΔΟ ΝΙΚΟΛΑ ΜΑΣ !!🇬🇷",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 12 ημέρες,greek,2.0
83,Καταστρέψατε τα καλύτερα παιδιά! Κάηκα από την φωτιά σου και τώρα απλά περιμένω να αναγεννηθώ από τις στάχτες μου....,https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
84,"Χρόνια είχε να βγάλει τόσο καλό τραγούδι,ύμνος από τα παλιά ",https://www.youtube.com/watch?v=b0z_dp5-luQ,πριν από 11 ημέρες,greek,2.0
